perc1;perc2;succ;cost
14; 68; 31; 2.0058
69; 1; 0; 1.553
27; 35; 40; 2.0378
53; 2; 21; 1.8345
3; 75; 40; 2.1482
69; 2; 0; 1.5449
39; 51; 0; 1.691
69; 3; 0; 1.5368
14; 69; 34; 1.9977
3; 76; 40; 2.1401
27; 36; 40; 2.0297
69; 4; 0; 1.5287
53; 3; 19; 1.8264
39; 52; 0; 1.6829
3; 77; 40; 2.132
69; 5; 0; 1.5206
14; 70; 27; 1.9896
69; 6; 0; 1.5125
27; 37; 40; 2.0216
3; 78; 40; 2.1239
69; 7; 0; 1.5044
39; 53; 0; 1.6748
53; 4; 17; 1.8183
69; 8; 0; 1.4963
3; 79; 40; 2.1158
14; 71; 25; 1.9815
69; 9; 0; 1.4882
27; 38; 40; 2.0135
39; 54; 0; 1.6667
3; 80; 40; 2.1077
69; 10; 0; 1.4801
53; 5; 14; 1.8102
69; 11; 0; 1.472
14; 72; 23; 1.9734
3; 81; 40; 2.0996
27; 39; 40; 2.0054
69; 12; 0; 1.4639
39; 55; 0; 1.6586
69; 13; 0; 1.4558
53; 6; 10; 1.8021
3; 82; 40; 2.0915
14; 73; 13; 1.9653
69; 14; 0; 1.4477
27; 40; 40; 1.9973
39; 56; 0; 1.6505
3; 83; 40; 2.0834
69; 15; 0; 1.4396
53; 7; 11; 1.794
69; 16; 0; 1.4315
14; 74; 12; 1.9572
3; 84; 40; 2.0753
39; 57; 0; 1.6424
27; 41; 40; 1.9892
70; 0; 0; 1.543
14; 75; 7; 1.9491
70; 1; 0; 1.5349
53; 8; 2; 1.7859
3; 85; 38; 2.0672
39; 58; 0; 1.6343
27; 42; 40; 1.9811
70; 2; 0; 1.5268
14; 76; 6; 1.941
3; 86; 37; 2.0591
70; 3; 0; 1.5187
53; 9; 2; 1.7778
39; 59; 0; 1.6262
27; 43; 40; 1.973
14; 77; 5; 1.9329
70; 4; 0; 1.5106
3; 87; 36; 2.051
70; 5; 0; 1.5025
53; 10; 2; 1.7697
39; 60; 0; 1.6181
70; 6; 0; 1.4944
14; 78; 2; 1.9248
27; 44; 37; 1.9649
3; 88; 32; 2.0429
70; 7; 0; 1.4863
39; 61; 0; 1.61
53; 11; 0; 1.7616
27; 45; 39; 1.9568
70; 8; 0; 1.4782
14; 79; 1; 1.9167
40; 0; 40; 2.086
3; 89; 22; 2.0348
70; 9; 0; 1.4701
27; 46; 36; 1.9487
53; 12; 1; 1.7535
14; 80; 0; 1.9086
40; 1; 40; 2.0779
70; 10; 0; 1.462
3; 90; 19; 2.0267
27; 47; 30; 1.9406
70; 11; 0; 1.4539
53; 13; 1; 1.7454
14; 81; 1; 1.9005
40; 2; 40; 2.0698
3; 91; 18; 2.0186
70; 12; 0; 1.4458
27; 48; 24; 1.9325
53; 14; 0; 1.7373
70; 13; 0; 1.4377
14; 82; 0; 1.8924
40; 3; 40; 2.0617
3; 92; 12; 2.0105
70; 14; 0; 1.4296
27; 49; 25; 1.9244
53; 15; 0; 1.7292
14; 83; 0; 1.8843
71; 0; 0; 1.5249
40; 4; 39; 2.0536
3; 93; 14; 2.0024
27; 50; 23; 1.9163
71; 1; 0; 1.5168
53; 16; 0; 1.7211
