perc1;perc2;succ;cost
16; 78; 200; 1.9
36; 38; 200; 1.9
51; 25; 159; 1.73
26; 58; 200; 1.9
1; 89; 200; 2.09
7; 71; 200; 2.15
46; 28; 196; 1.8
11; 89; 200; 1.89
56; 23; 23; 1.65
21; 69; 200; 1.89
41; 30; 199; 1.88
16; 79; 200; 1.89
67; 3; 0; 1.63
36; 39; 200; 1.89
31; 49; 200; 1.89
61; 25; 0; 1.53
26; 59; 200; 1.89
1; 90; 200; 2.08
12; 56; 200; 2.2
7; 72; 200; 2.14
21; 70; 200; 1.88
46; 29; 187; 1.79
51; 26; 159; 1.72
41; 31; 200; 1.87
67; 4; 0; 1.62
16; 80; 200; 1.88
36; 40; 200; 1.88
31; 50; 200; 1.88
56; 24; 25; 1.64
26; 60; 200; 1.88
1; 91; 200; 2.07
12; 57; 200; 2.19
7; 73; 200; 2.13
61; 26; 0; 1.52
41; 32; 199; 1.86
21; 71; 200; 1.87
46; 30; 194; 1.78
67; 5; 0; 1.61
31; 51; 200; 1.87
1; 92; 200; 2.06
12; 58; 200; 2.18
36; 41; 200; 1.87
16; 81; 200; 1.87
51; 27; 145; 1.71
26; 61; 200; 1.87
7; 74; 200; 2.12
21; 72; 200; 1.86
41; 33; 200; 1.85
61; 27; 0; 1.51
56; 25; 12; 1.63
67; 6; 0; 1.6
16; 82; 200; 1.86
12; 59; 200; 2.17
1; 93; 200; 2.05
31; 52; 200; 1.86
46; 31; 194; 1.77
7; 75; 200; 2.11
26; 62; 200; 1.86
36; 42; 200; 1.86
21; 73; 200; 1.85
41; 34; 199; 1.84
12; 60; 200; 2.16
51; 28; 143; 1.7
1; 94; 200; 2.04
67; 7; 0; 1.59
61; 28; 0; 1.5
16; 83; 200; 1.85
7; 76; 200; 2.1
31; 53; 200; 1.85
26; 63; 200; 1.85
36; 43; 200; 1.85
46; 32; 195; 1.76
56; 26; 10; 1.62
21; 74; 200; 1.84
41; 35; 199; 1.83
12; 61; 200; 2.15
1; 95; 200; 2.03
7; 77; 200; 2.09
67; 8; 0; 1.58
16; 84; 199; 1.84
31; 54; 200; 1.84
61; 29; 0; 1.49
26; 64; 200; 1.84
36; 44; 199; 1.84
51; 29; 137; 1.69
21; 75; 200; 1.83
12; 62; 200; 2.14
7; 78; 200; 2.08
67; 9; 0; 1.57
1; 96; 200; 2.02
46; 33; 194; 1.75
41; 36; 197; 1.82
17; 46; 200; 2.2
26; 65; 200; 1.83
31; 55; 200; 1.83
56; 27; 5; 1.61
36; 45; 200; 1.83
12; 63; 200; 2.13
7; 79; 200; 2.07
1; 97; 200; 2.01
61; 30; 0; 1.48
67; 10; 0; 1.56
21; 76; 200; 1.82
41; 37; 199; 1.81
17; 47; 200; 2.19
46; 34; 196; 1.74
51; 30; 101; 1.68
7; 80; 200; 2.06
