perc1;perc2;succ;cost
# 2^15
12; 56; 40; 2.2
26; 58; 0; 1.9
1; 90; 35; 2.08
51; 27; 0; 1.71
62; 35; 0; 1.41
16; 80; 0; 1.88
31; 49; 0; 1.89
41; 29; 1; 1.89
7; 73; 40; 2.13
21; 70; 0; 1.88
36; 38; 0; 1.9
56; 43; 0; 1.45
12; 57; 40; 2.19
62; 36; 0; 1.4
26; 59; 0; 1.89
1; 91; 18; 2.07
46; 26; 0; 1.82
63; 0; 0; 1.74
16; 81; 0; 1.87
63; 1; 0; 1.73
51; 28; 0; 1.7
7; 74; 40; 2.12
12; 58; 40; 2.18
31; 50; 0; 1.88
21; 71; 0; 1.87
56; 44; 0; 1.44
63; 2; 0; 1.72
36; 39; 0; 1.89
41; 30; 0; 1.88
63; 3; 0; 1.71
57; 0; 0; 1.86
1; 92; 11; 2.06
26; 60; 0; 1.88
16; 82; 0; 1.86
63; 4; 0; 1.7
46; 27; 0; 1.81
12; 59; 40; 2.17
7; 75; 40; 2.11
21; 72; 0; 1.86
57; 1; 0; 1.85
31; 51; 0; 1.87
63; 5; 0; 1.69
51; 29; 0; 1.69
36; 40; 0; 1.88
63; 6; 0; 1.68
57; 2; 0; 1.84
41; 31; 0; 1.87
1; 93; 3; 2.05
16; 83; 0; 1.85
63; 7; 0; 1.67
12; 60; 40; 2.16
26; 61; 0; 1.87
57; 3; 0; 1.83
46; 28; 0; 1.8
7; 76; 40; 2.1
63; 8; 0; 1.66
21; 73; 0; 1.85
31; 52; 0; 1.86
51; 30; 0; 1.68
63; 9; 0; 1.65
57; 4; 0; 1.82
16; 84; 0; 1.84
1; 94; 0; 2.04
36; 41; 0; 1.87
63; 10; 0; 1.64
12; 61; 40; 2.15
41; 32; 0; 1.86
26; 62; 0; 1.86
57; 5; 0; 1.81
63; 11; 0; 1.63
21; 74; 0; 1.84
7; 77; 40; 2.09
46; 29; 0; 1.79
31; 53; 0; 1.85
63; 12; 0; 1.62
17; 46; 40; 2.2
57; 6; 0; 1.8
1; 95; 0; 2.03
51; 31; 0; 1.67
12; 62; 40; 2.14
63; 13; 0; 1.61
36; 42; 0; 1.86
57; 7; 0; 1.79
41; 33; 0; 1.85
26; 63; 0; 1.85
21; 75; 0; 1.83
63; 14; 0; 1.6
7; 78; 39; 2.08
1; 96; 0; 2.02
17; 47; 40; 2.19
46; 30; 0; 1.78
31; 54; 0; 1.84
57; 8; 0; 1.78
63; 15; 0; 1.59
12; 63; 40; 2.13
51; 32; 0; 1.66
63; 16; 0; 1.58
36; 43; 0; 1.85
57; 9; 0; 1.77
41; 34; 0; 1.84
26; 64; 0; 1.84
1; 97; 0; 2.01
17; 48; 40; 2.18
21; 76; 0; 1.82
63; 17; 0; 1.57
7; 79; 37; 2.07
12; 64; 40; 2.12
57; 10; 0; 1.76
31; 55; 0; 1.83
63; 18; 0; 1.56
46; 31; 0; 1.77
51; 33; 0; 1.65
57; 11; 0; 1.75
17; 49; 40; 2.17
63; 19; 0; 1.55
36; 44; 0; 1.84
1; 98; 0; 2
26; 65; 0; 1.83
21; 77; 0; 1.81
12; 65; 40; 2.11
63; 20; 0; 1.54
41; 35; 0; 1.83
57; 12; 0; 1.74
7; 80; 27; 2.06
31; 56; 0; 1.82
63; 21; 0; 1.53
17; 50; 40; 2.16
46; 32; 0; 1.76
57; 13; 0; 1.73
1; 99; 0; 1.99
63; 22; 0; 1.52
26; 66; 0; 1.82
36; 45; 0; 1.83
12; 66; 40; 2.1
51; 34; 0; 1.64
21; 78; 0; 1.8
63; 23; 0; 1.51
57; 14; 0; 1.72
41; 36; 0; 1.82
7; 81; 23; 2.05
31; 57; 0; 1.81
63; 24; 0; 1.5
17; 51; 40; 2.15
2; 76; 40; 2.2
57; 15; 0; 1.71
63; 25; 0; 1.49
26; 67; 0; 1.81
46; 33; 0; 1.75
12; 67; 40; 2.09
21; 79; 0; 1.79
36; 46; 0; 1.82
51; 35; 0; 1.63
7; 82; 17; 2.04
63; 26; 0; 1.48
31; 58; 0; 1.8
17; 52; 40; 2.14
57; 16; 0; 1.7
2; 77; 40; 2.19
41; 37; 0; 1.81
63; 27; 0; 1.47
22; 36; 40; 2.2
26; 68; 0; 1.8
57; 17; 0; 1.69
12; 68; 40; 2.08
63; 28; 0; 1.46
46; 34; 0; 1.74
7; 83; 1; 2.03
2; 78; 40; 2.18
17; 53; 40; 2.13
36; 47; 0; 1.81
51; 36; 0; 1.62
31; 59; 0; 1.79
22; 37; 40; 2.19
63; 29; 0; 1.45
57; 18; 0; 1.68
41; 38; 0; 1.8
26; 69; 0; 1.79
63; 30; 0; 1.44
12; 69; 40; 2.07
2; 79; 40; 2.17
57; 19; 0; 1.67
7; 84; 1; 2.02
17; 54; 40; 2.12
22; 38; 40; 2.18
36; 48; 0; 1.8
63; 31; 0; 1.43
46; 35; 0; 1.73
51; 37; 0; 1.61
31; 60; 0; 1.78
57; 20; 0; 1.66
26; 70; 0; 1.78
41; 39; 0; 1.79
63; 32; 0; 1.42
2; 80; 40; 2.16
7; 85; 0; 2.01
12; 70; 39; 2.06
22; 39; 40; 2.17
57; 21; 0; 1.65
17; 55; 40; 2.11
63; 33; 0; 1.41
36; 49; 0; 1.79
31; 61; 0; 1.77
46; 36; 0; 1.72
64; 0; 0; 1.72
51; 38; 0; 1.6
2; 81; 40; 2.15
57; 22; 0; 1.64
26; 71; 0; 1.77
22; 40; 40; 2.16
64; 1; 0; 1.71
7; 86; 0; 2
12; 71; 32; 2.05
41; 40; 0; 1.78
17; 56; 40; 2.1
64; 2; 0; 1.7
57; 23; 0; 1.63
64; 3; 0; 1.69
31; 62; 0; 1.76
36; 50; 0; 1.78
22; 41; 40; 2.15
46; 37; 0; 1.71
64; 4; 0; 1.68
2; 82; 40; 2.14
7; 87; 0; 1.99
26; 72; 0; 1.76
51; 39; 0; 1.59
64; 5; 0; 1.67
57; 24; 0; 1.62
12; 72; 27; 2.04
17; 57; 40; 2.09
64; 6; 0; 1.66
41; 41; 0; 1.77
22; 42; 40; 2.14
64; 7; 0; 1.65
2; 83; 40; 2.13
31; 63; 0; 1.75
36; 51; 0; 1.77
26; 73; 0; 1.75
57; 25; 0; 1.61
46; 38; 0; 1.7
64; 8; 0; 1.64
7; 88; 0; 1.98
51; 40; 0; 1.58
12; 73; 20; 2.03
64; 9; 0; 1.63
17; 58; 40; 2.08
22; 43; 40; 2.13
41; 42; 0; 1.76
57; 26; 0; 1.6
64; 10; 0; 1.62
2; 84; 39; 2.12
7; 89; 0; 1.97
31; 64; 0; 1.74
64; 11; 0; 1.61
26; 74; 0; 1.74
36; 52; 0; 1.76
64; 12; 0; 1.6
46; 39; 0; 1.69
57; 27; 0; 1.59
51; 41; 0; 1.57
22; 44; 40; 2.12
12; 74; 17; 2.02
17; 59; 40; 2.07
2; 85; 39; 2.11
64; 13; 0; 1.59
41; 43; 0; 1.75
7; 90; 0; 1.96
27; 26; 40; 2.2
64; 14; 0; 1.58
57; 28; 0; 1.58
31; 65; 0; 1.73
64; 15; 0; 1.57
36; 53; 0; 1.75
46; 40; 0; 1.68
12; 75; 4; 2.01
22; 45; 40; 2.11
51; 42; 0; 1.56
64; 16; 0; 1.56
2; 86; 38; 2.1
17; 60; 40; 2.06
57; 29; 0; 1.57
27; 27; 40; 2.19
7; 91; 0; 1.95
41; 44; 0; 1.74
64; 17; 0; 1.55
31; 66; 0; 1.72
64; 18; 0; 1.54
36; 54; 0; 1.74
12; 76; 1; 2
22; 46; 40; 2.1
57; 30; 0; 1.56
27; 28; 40; 2.18
2; 87; 36; 2.09
46; 41; 0; 1.67
51; 43; 0; 1.55
64; 19; 0; 1.53
17; 61; 39; 2.05
7; 92; 0; 1.94
64; 20; 0; 1.52
41; 45; 0; 1.73
31; 67; 0; 1.71
64; 21; 0; 1.51
12; 77; 0; 1.99
27; 29; 40; 2.17
22; 47; 40; 2.09
57; 31; 0; 1.55
36; 55; 0; 1.73
7; 93; 0; 1.93
64; 22; 0; 1.5
2; 88; 32; 2.08
51; 44; 0; 1.54
46; 42; 0; 1.66
17; 62; 37; 2.04
64; 23; 0; 1.49
57; 32; 0; 1.54
27; 30; 40; 2.16
8; 64; 40; 2.2
22; 48; 40; 2.08
31; 68; 0; 1.7
12; 78; 0; 1.98
41; 46; 0; 1.72
64; 24; 0; 1.48
36; 56; 0; 1.72
2; 89; 26; 2.07
64; 25; 0; 1.47
51; 45; 0; 1.53
17; 63; 35; 2.03
46; 43; 0; 1.65
57; 33; 0; 1.53
8; 65; 40; 2.19
27; 31; 40; 2.15
64; 26; 0; 1.46
12; 79; 0; 1.97
22; 49; 40; 2.07
31; 69; 0; 1.69
64; 27; 0; 1.45
36; 57; 0; 1.71
41; 47; 0; 1.71
57; 34; 0; 1.52
2; 90; 13; 2.06
51; 46; 0; 1.52
27; 32; 40; 2.14
8; 66; 40; 2.18
64; 28; 0; 1.44
12; 80; 0; 1.96
17; 64; 30; 2.02
32; 16; 40; 2.2
46; 44; 0; 1.64
22; 50; 40; 2.06
64; 29; 0; 1.43
36; 58; 0; 1.7
57; 35; 0; 1.51
64; 30; 0; 1.42
8; 67; 40; 2.17
27; 33; 40; 2.13
41; 48; 0; 1.7
32; 17; 40; 2.19
2; 91; 4; 2.05
51; 47; 0; 1.51
65; 0; 0; 1.7
12; 81; 0; 1.95
17; 65; 19; 2.01
65; 1; 0; 1.69
46; 45; 0; 1.63
22; 51; 40; 2.05
65; 2; 0; 1.68
57; 36; 0; 1.5
36; 59; 0; 1.69
27; 34; 40; 2.12
32; 18; 40; 2.18
8; 68; 40; 2.16
2; 92; 1; 2.04
65; 3; 0; 1.67
51; 48; 0; 1.5
41; 49; 0; 1.69
65; 4; 0; 1.66
12; 82; 0; 1.94
17; 66; 7; 2
65; 5; 0; 1.65
46; 46; 0; 1.62
22; 52; 40; 2.04
57; 37; 0; 1.49
32; 19; 40; 2.17
8; 69; 40; 2.15
2; 93; 0; 2.03
65; 6; 0; 1.64
27; 35; 40; 2.11
36; 60; 0; 1.68
51; 49; 0; 1.49
65; 7; 0; 1.63
12; 83; 0; 1.93
17; 67; 5; 1.99
41; 50; 0; 1.68
65; 8; 0; 1.62
57; 38; 0; 1.48
32; 20; 40; 2.16
2; 94; 0; 2.02
8; 70; 40; 2.14
22; 53; 37; 2.03
65; 9; 0; 1.61
27; 36; 40; 2.1
46; 47; 0; 1.61
36; 61; 0; 1.67
52; 0; 4; 1.96
65; 10; 0; 1.6
12; 84; 0; 1.92
17; 68; 0; 1.98
65; 11; 0; 1.59
41; 51; 0; 1.67
32; 21; 40; 2.15
8; 71; 40; 2.13
57; 39; 0; 1.47
2; 95; 0; 2.01
65; 12; 0; 1.58
46; 48; 0; 1.6
