perc1;perc2;succ;cost
73; 22; 0; 1.32
61; 20; 33; 1.58
65; 20; 22; 1.5
69; 21; 8; 1.41
47; 20; 40; 1.86
51; 20; 40; 1.78
53; 20; 40; 1.74
63; 20; 29; 1.54
49; 20; 40; 1.82
59; 20; 38; 1.62
67; 21; 20; 1.45
45; 20; 39; 1.9
75; 23; 0; 1.27
71; 22; 2; 1.36
57; 20; 38; 1.66
55; 21; 37; 1.69
73; 23; 0; 1.31
61; 21; 37; 1.57
69; 22; 1; 1.4
65; 21; 20; 1.49
51; 21; 40; 1.77
47; 21; 40; 1.85
59; 21; 36; 1.61
49; 21; 40; 1.81
63; 21; 28; 1.53
67; 22; 12; 1.44
53; 21; 40; 1.73
75; 24; 0; 1.26
45; 21; 40; 1.89
71; 23; 1; 1.35
57; 21; 39; 1.65
73; 24; 0; 1.3
55; 22; 38; 1.68
69; 23; 2; 1.39
61; 22; 37; 1.56
65; 22; 19; 1.48
47; 22; 40; 1.84
51; 22; 40; 1.76
59; 22; 37; 1.6
49; 22; 40; 1.8
67; 23; 10; 1.43
63; 22; 32; 1.52
53; 22; 40; 1.72
75; 25; 0; 1.25
71; 24; 1; 1.34
45; 22; 40; 1.88
57; 22; 38; 1.64
73; 25; 0; 1.29
69; 24; 3; 1.38
55; 23; 40; 1.67
61; 23; 35; 1.55
51; 23; 40; 1.75
47; 23; 40; 1.83
65; 23; 21; 1.47
49; 23; 40; 1.79
59; 23; 37; 1.59
76; 0; 0; 1.48
63; 23; 31; 1.51
67; 24; 11; 1.42
71; 25; 0; 1.33
53; 23; 40; 1.71
45; 23; 40; 1.87
57; 23; 39; 1.63
73; 26; 0; 1.28
69; 25; 5; 1.37
55; 24; 40; 1.66
76; 1; 0; 1.47
61; 24; 34; 1.54
51; 24; 39; 1.74
47; 24; 40; 1.82
65; 24; 21; 1.46
71; 26; 1; 1.32
49; 24; 40; 1.78
59; 24; 37; 1.58
63; 24; 29; 1.5
53; 24; 40; 1.7
67; 25; 6; 1.41
45; 24; 40; 1.86
73; 27; 0; 1.27
57; 24; 37; 1.62
69; 26; 1; 1.36
55; 25; 40; 1.65
76; 2; 0; 1.46
51; 25; 40; 1.73
71; 27; 0; 1.31
61; 25; 36; 1.53
49; 25; 40; 1.77
47; 25; 39; 1.81
65; 25; 21; 1.45
63; 25; 31; 1.49
59; 25; 37; 1.57
67; 26; 13; 1.4
53; 25; 40; 1.69
45; 25; 40; 1.85
74; 0; 0; 1.52
57; 25; 38; 1.61
69; 27; 2; 1.35
76; 3; 0; 1.45
51; 26; 40; 1.72
55; 26; 40; 1.64
71; 28; 0; 1.3
49; 26; 40; 1.76
47; 26; 40; 1.8
61; 26; 34; 1.52
63; 26; 27; 1.48
65; 26; 23; 1.44
