run;elementClass;classCost;percentage
92;1;1;58.1865
92;1.6;1.6;13.6269
92;2;2;0
92;2.3;2.3;4.76684
92;3;3;23.4197
92;bump;3;3.98964
92;bumpR;0;0
# Achieved fill rate: 94.2383
79;1;1;51.548
79;1.6;1.6;22.549
79;2;2;11.0939
79;2.3;2.3;0.309598
79;3;3;14.4995
79;bump;3;3.56037
79;bumpR;0;0
# Achieved fill rate: 94.6289
43;1;1;61.3003
43;1.6;1.6;2.47678
43;2;2;10.0619
43;2.3;2.3;15.1187
43;3;3;11.0423
43;bump;3;3.56037
43;bumpR;0;0
# Achieved fill rate: 94.6289
11;1;1;58.6278
11;1.6;1.6;3.84025
11;2;2;22.2222
11;2.3;2.3;0.358423
11;3;3;14.9514
11;bump;3;2.76498
11;bumpR;0;0
# Achieved fill rate: 95.3613
28;1;1;51.3048
28;1.6;1.6;16.023
28;2;2;23.4342
28;2.3;2.3;0
28;3;3;9.238
28;bump;3;4.74948
28;bumpR;0;0
# Achieved fill rate: 93.5547
63;1;1;55.1209
63;1.6;1.6;1.44107
63;2;2;0
63;2.3;2.3;40.9161
63;3;3;2.52187
63;bump;3;3.29388
63;bumpR;0;0
# Achieved fill rate: 94.873
80;1;1;57.2535
80;1.6;1.6;0
80;2;2;26.2777
80;2.3;2.3;11.5126
80;3;3;4.95612
80;bump;3;3.61384
80;bumpR;0;0
# Achieved fill rate: 94.5801
12;1;1;62.799
12;1.6;1.6;2.03562
12;2;2;0.763359
12;2.3;2.3;12.57
12;3;3;21.8321
12;bump;3;2.1374
12;bumpR;0;0
# Achieved fill rate: 95.9473
93;1;1;54.6025
93;1.6;1.6;3.24268
93;2;2;26.6736
93;2.3;2.3;6.27615
93;3;3;9.20502
93;bump;3;4.96862
93;bumpR;0;0
# Achieved fill rate: 93.3594
44;1;1;43.7793
44;1.6;1.6;43.7272
44;2;2;0.468506
44;2.3;2.3;0
44;3;3;12.025
44;bump;3;4.47683
44;bumpR;0;0
# Achieved fill rate: 93.7988
64;1;1;56.4928
64;1.6;1.6;8.38446
64;2;2;4.80573
64;2.3;2.3;6.79959
64;3;3;23.5174
64;bump;3;2.60736
64;bumpR;0;0
# Achieved fill rate: 95.5078
81;1;1;55.7986
81;1.6;1.6;10.0712
81;2;2;9.66429
81;2.3;2.3;0
81;3;3;24.4659
81;bump;3;2.08545
81;bumpR;0;0
# Achieved fill rate: 95.9961
13;1;1;59.2857
13;1.6;1.6;2.34694
13;2;2;12.9082
13;2.3;2.3;3.26531
13;3;3;22.1939
13;bump;3;2.39796
13;bumpR;0;0
# Achieved fill rate: 95.7031
45;1;1;56.9184
45;1.6;1.6;0
45;2;2;1.67258
45;2.3;2.3;22.1997
45;3;3;19.2093
45;bump;3;1.72326
45;bumpR;0;0
# Achieved fill rate: 96.3379
29;1;1;57.0683
29;1.6;1.6;5.7903
29;2;2;20.6051
29;2.3;2.3;3.23422
29;3;3;13.302
29;bump;3;4.69484
29;bumpR;0;0
# Achieved fill rate: 93.6035
94;1;1;54.5596
94;1.6;1.6;5.7513
94;2;2;31.7617
94;2.3;2.3;0
94;3;3;7.92746
94;bump;3;3.98964
94;bumpR;0;0
# Achieved fill rate: 94.2383
30;1;1;58.5106
30;1.6;1.6;2.98886
30;2;2;5.06586
30;2.3;2.3;3.64742
30;3;3;29.7872
30;bump;3;1.67173
30;bumpR;0;0
# Achieved fill rate: 96.3867
65;1;1;61.2487
65;1.6;1.6;0
65;2;2;20.7946
65;2.3;2.3;0
65;3;3;17.9567
65;bump;3;3.56037
65;bumpR;0;0
# Achieved fill rate: 94.6289
82;1;1;56.5688
82;1.6;1.6;1.13344
82;2;2;26.1721
82;2.3;2.3;0
82;3;3;16.1257
82;bump;3;3.40031
82;bumpR;0;0
# Achieved fill rate: 94.7754
31;1;1;58.7349
31;1.6;1.6;0
31;2;2;4.26707
31;2.3;2.3;4.01606
31;3;3;32.9819
31;bump;3;0.753012
31;bumpR;0;0
# Achieved fill rate: 97.2656
14;1;1;61.7054
14;1.6;1.6;3.51421
14;2;2;0
14;2.3;2.3;28.7339
14;3;3;6.04651
14;bump;3;3.72093
14;bumpR;0;0
# Achieved fill rate: 94.4824
83;1;1;57.8604
83;1.6;1.6;1.60723
83;2;2;1.90859
83;2.3;2.3;5.12305
83;3;3;33.5008
83;bump;3;0.803616
83;bumpR;0;0
# Achieved fill rate: 97.2168
46;1;1;54.6445
46;1.6;1.6;0
46;2;2;31.9668
46;2.3;2.3;8.35496
46;3;3;5.03373
46;bump;3;4.15153
46;bumpR;0;0
# Achieved fill rate: 94.0918
32;1;1;54.2929
32;1.6;1.6;9.89899
32;2;2;6.81818
32;2.3;2.3;0
32;3;3;28.9899
32;bump;3;1.36364
32;bumpR;0;0
# Achieved fill rate: 96.6797
15;1;1;60.1725
15;1.6;1.6;1.16692
15;2;2;4.56621
15;2.3;2.3;11.6185
15;3;3;22.4759
15;bump;3;1.82648
15;bumpR;0;0
# Achieved fill rate: 96.2402
66;1;1;47.1318
66;1.6;1.6;38.4496
66;2;2;0.258398
66;2.3;2.3;0
66;3;3;14.1602
66;bump;3;3.72093
66;bumpR;0;0
# Achieved fill rate: 94.4824
95;1;1;50.1295
95;1.6;1.6;0.62144
95;2;2;45.2097
95;2.3;2.3;0
95;3;3;4.03936
95;bump;3;3.93578
95;bumpR;0;0
# Achieved fill rate: 94.2871
67;1;1;57.998
67;1.6;1.6;0.855131
67;2;2;0
67;2.3;2.3;11.9215
67;3;3;29.2254
67;bump;3;0.955734
67;bumpR;0;0
# Achieved fill rate: 97.0703
16;1;1;56.7172
16;1.6;1.6;0
16;2;2;15.404
16;2.3;2.3;0
16;3;3;27.8788
16;bump;3;1.36364
16;bumpR;0;0
# Achieved fill rate: 96.6797
