perc1;perc2;succ;cost
21; 66; 40; 2.1378
41; 27; 40; 1.9991
67; 20; 0; 1.526
31; 46; 40; 2.0718
11; 87; 40; 2.1971
7; 70; 40; 2.391
46; 26; 40; 1.9058
56; 28; 0; 1.6924
61; 36; 0; 1.5388
1; 88; 40; 2.3904
16; 78; 40; 2.1574
51; 25; 14; 1.8125
67; 21; 0; 1.5193
21; 67; 40; 2.1311
26; 57; 40; 2.0981
36; 35; 40; 2.0455
41; 28; 40; 1.9924
11; 88; 40; 2.1904
31; 47; 40; 2.0651
67; 22; 0; 1.5126
61; 37; 0; 1.5321
7; 71; 40; 2.3843
56; 29; 0; 1.6857
1; 89; 40; 2.3837
16; 79; 40; 2.1507
46; 27; 40; 1.8991
21; 68; 40; 2.1244
51; 26; 11; 1.8058
36; 36; 40; 2.0388
26; 58; 40; 2.0914
11; 89; 40; 2.1837
41; 29; 39; 1.9857
31; 48; 40; 2.0584
68; 0; 0; 1.64
61; 38; 0; 1.5254
1; 90; 40; 2.377
56; 30; 0; 1.679
7; 72; 40; 2.3776
46; 28; 38; 1.8924
16; 80; 40; 2.144
68; 1; 0; 1.6333
21; 69; 40; 2.1177
26; 59; 40; 2.0847
31; 49; 40; 2.0517
12; 56; 40; 2.3848
36; 37; 40; 2.0321
61; 39; 0; 1.5187
51; 27; 9; 1.7991
41; 30; 40; 1.979
68; 2; 0; 1.6266
1; 91; 40; 2.3703
7; 73; 40; 2.3709
56; 31; 0; 1.6723
16; 81; 40; 2.1373
21; 70; 40; 2.111
62; 0; 0; 1.76
46; 29; 39; 1.8857
12; 57; 40; 2.3781
26; 60; 40; 2.078
31; 50; 40; 2.045
68; 3; 0; 1.6199
41; 31; 40; 1.9723
36; 38; 40; 2.0254
51; 28; 9; 1.7924
62; 1; 0; 1.7533
21; 71; 40; 2.1043
16; 82; 40; 2.1306
56; 32; 0; 1.6656
1; 92; 40; 2.3636
68; 4; 0; 1.6132
7; 74; 40; 2.3642
26; 61; 40; 2.0713
12; 58; 40; 2.3714
46; 30; 38; 1.879
31; 51; 40; 2.0383
36; 39; 40; 2.0187
62; 2; 0; 1.7466
68; 5; 0; 1.6065
41; 32; 40; 1.9656
16; 83; 40; 2.1239
51; 29; 4; 1.7857
21; 72; 40; 2.0976
56; 33; 0; 1.6589
1; 93; 40; 2.3569
68; 6; 0; 1.5998
7; 75; 40; 2.3575
26; 62; 40; 2.0646
12; 59; 40; 2.3647
62; 3; 0; 1.7399
46; 31; 38; 1.8723
31; 52; 40; 2.0316
36; 40; 40; 2.012
68; 7; 0; 1.5931
41; 33; 39; 1.9589
16; 84; 40; 2.1172
1; 94; 40; 2.3502
56; 34; 0; 1.6522
21; 73; 40; 2.0909
12; 60; 40; 2.358
51; 30; 0; 1.779
7; 76; 40; 2.3508
26; 63; 40; 2.0579
62; 4; 0; 1.7332
68; 8; 0; 1.5864
46; 32; 32; 1.8656
31; 53; 40; 2.0249
36; 41; 40; 2.0053
1; 95; 40; 2.3435
56; 35; 0; 1.6455
62; 5; 0; 1.7265
17; 46; 40; 2.3518
12; 61; 40; 2.3513
41; 34; 40; 1.9522
21; 74; 40; 2.0842
26; 64; 40; 2.0512
68; 9; 0; 1.5797
7; 77; 40; 2.3441
51; 31; 1; 1.7723
68; 10; 0; 1.573
1; 96; 40; 2.3368
31; 54; 40; 2.0182
62; 6; 0; 1.7198
17; 47; 40; 2.3451
46; 33; 25; 1.8589
